seed,group,clips,error_reduction,revision_path_reduction,coverage_gap
1,G00013,1383,0.05027363553944397,-0.055194022656061714,0.041937816341287015
1,G00014,1479,0.0530414046305584,-0.031102096010818092,0.03673653369393737
1,G00015,1136,0.037556068964433365,-0.03213028169014087,0.04914906103286387
12,G00013,1383,0.05648782367087918,-0.043624969872258335,0.03121234032296938
12,G00014,1479,0.05765975962732889,-0.022425061978814498,0.027045300878972278
12,G00015,1136,0.041759560744603574,-0.028022300469483563,0.04298708920187788
123,G00013,1383,0.05705885377696396,-0.042178838274282926,0.03314051578693655
123,G00014,1479,0.057762391572926675,-0.022312373225152116,0.02941176470588236
123,G00015,1136,0.04234088320083501,-0.026555164319248814,0.04357394366197187
1234,G00013,1383,0.05801721129758319,-0.030609785490479602,0.024584237165582
1234,G00014,1479,0.0577355089926031,-0.010592742844264147,0.02129817444219073
1234,G00015,1136,0.04308321239722035,-0.012617370892018809,0.03594483568075113
12345,G00013,1383,0.06488127274014882,-0.037478910580862834,0.021089419137141463
12345,G00014,1479,0.06404203992291202,-0.02479152580572458,0.01656524678837057
12345,G00015,1136,0.04824056388202069,-0.025088028169014065,0.030663145539906123
