scope,seed,comparison,metric,estimate,ci95_lower,ci95_upper
official_test,1,H0_vs_B4,error_absolute_reduction,0.12477295003974465,0.10872298255583895,0.1407481313283428
official_test,1,H0_vs_B4,revision_per_path_absolute_reduction,0.11121856866537716,0.09010315925209544,0.13249516441005804
official_test,1,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.07652051815057576,0.06543739906522922,0.08761399724311125
source_disjoint_test,1,H0_vs_B4,error_absolute_reduction,0.12517880459817887,0.08993777484187013,0.16001297809384815
source_disjoint_test,1,H0_vs_B4,revision_per_path_absolute_reduction,0.08245614035087717,0.03157894736842104,0.13245614035087716
source_disjoint_test,1,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.05598532157119451,0.029883624695834027,0.08194455865058989
official_test,12,H0_vs_B4,error_absolute_reduction,0.11705302213788954,0.10065348684030476,0.13380373021771816
official_test,12,H0_vs_B4,revision_per_path_absolute_reduction,0.12169568020631849,0.10090264345583494,0.14184397163120568
official_test,12,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.08415793937256313,0.07323394095129267,0.09468504550971017
source_disjoint_test,12,H0_vs_B4,error_absolute_reduction,0.12486351965102266,0.08955173375520217,0.1612444104475173
source_disjoint_test,12,H0_vs_B4,revision_per_path_absolute_reduction,0.09210526315789475,0.041228070175438614,0.14210526315789473
source_disjoint_test,12,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.06335007606819765,0.037273576542487724,0.08983464293368322
official_test,123,H0_vs_B4,error_absolute_reduction,0.1233575005404397,0.10752341128989283,0.139072990229162
official_test,123,H0_vs_B4,revision_per_path_absolute_reduction,0.11154094132817532,0.09058671824629272,0.13313990973565443
official_test,123,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.07777407224294194,0.06670372051417595,0.08911806552002859
source_disjoint_test,123,H0_vs_B4,error_absolute_reduction,0.12237894576753172,0.08751329523875181,0.157511620993049
source_disjoint_test,123,H0_vs_B4,revision_per_path_absolute_reduction,0.08245614035087717,0.031578947368421095,0.13245614035087722
source_disjoint_test,123,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.05714072550040819,0.03087446780017023,0.08396627229214786
official_test,1234,H0_vs_B4,error_absolute_reduction,0.11895965038843864,0.10261957747682895,0.13559332306574137
official_test,1234,H0_vs_B4,revision_per_path_absolute_reduction,0.12201805286911666,0.10090264345583494,0.14265393294648612
official_test,1234,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.08419867191928573,0.07332999999422189,0.09492824237045057
source_disjoint_test,1234,H0_vs_B4,error_absolute_reduction,0.12735233788313682,0.09210162466191897,0.16395886812025165
source_disjoint_test,1234,H0_vs_B4,revision_per_path_absolute_reduction,0.09210526315789475,0.0429824561403509,0.14210526315789473
source_disjoint_test,1234,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.06304678519558649,0.03739551004954488,0.08952682798485717
official_test,12345,H0_vs_B4,error_absolute_reduction,0.12267881138007514,0.10647105771993337,0.1388280831044333
official_test,12345,H0_vs_B4,revision_per_path_absolute_reduction,0.11686009026434557,0.09590586718246291,0.1382978723404255
official_test,12345,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.08097360685608915,0.070080192584969,0.09216884270738629
source_disjoint_test,12345,H0_vs_B4,error_absolute_reduction,0.12103181576726824,0.0856843916613026,0.15669917211616122
source_disjoint_test,12345,H0_vs_B4,revision_per_path_absolute_reduction,0.07894736842105265,0.028070175438596523,0.13245614035087716
source_disjoint_test,12345,H0_vs_B4,revision_per_opportunity_absolute_reduction,0.05587068527784611,0.02923949276023349,0.08286687371808954
