scope,condition,seed,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,B0,1,6204,12408,5400,0.43520309477756286,1.0,0.630722114764668,12408,0.315361057382334,0.26998710509348806,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2440,0.39329464861379754
official_test,B1,1,6204,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
official_test,B2,1,6204,9859,4289,0.43503397910538594,0.7945680206318504,0.41166989039329466,9859,0.2590526422558069,0.2071244358478401,0.910541586073501,1.4108639587362992,1.0,4210,0.6785944551901999,2004,0.47600950118764845,5649,0.910541586073501,2285,0.40449637103912195
official_test,B3,1,6204,3971,1309,0.3296398891966759,0.3200354609929078,0.14281108961960026,3971,0.22311760261898766,0.06254029658284978,0.6400709219858156,2.3599290780141846,1.0,0,0.0,0,,3971,0.6400709219858156,1309,0.3296398891966759
official_test,B4,1,6204,9859,4427,0.44903134192108735,0.7945680206318504,0.38475177304964536,9859,0.24211380464550158,0.20357833655705995,0.910541586073501,1.4108639587362992,1.0,4210,0.6785944551901999,2004,0.47600950118764845,5649,0.910541586073501,2423,0.428925473535139
official_test,H0,1,6204,10248,3323,0.3242583918813427,0.8259187620889749,0.2735332043842682,10248,0.16559328649492583,0.1036428110896196,0.905544809800129,1.3481624758220503,1.0,4630,0.7462927143778207,1574,0.33995680345572354,5618,0.905544809800129,1749,0.3113207547169811
official_test,H0,12,6204,10332,3430,0.3319783197831978,0.8326885880077369,0.26305609284332687,10332,0.15795586527293845,0.10283687943262411,0.9107027724049,1.3346228239845261,1.0,4682,0.7546744036105738,1598,0.3413071337035455,5650,0.9107027724049,1832,0.32424778761061945
official_test,H0,123,6204,10314,3359,0.32567384138064764,0.8312379110251451,0.27321083172147004,10314,0.16433973240255964,0.1041263700838169,0.9113475177304965,1.3375241779497098,1.0,4660,0.7511283043197937,1586,0.340343347639485,5654,0.9113475177304965,1773,0.3135833038556774
official_test,H0,1234,6204,10322,3407,0.3300716915326487,0.8318826563507414,0.2627337201805287,10322,0.15791513272621585,0.10235332043842682,0.9103803997421018,1.3362346872985171,1.0,4674,0.753384912959381,1592,0.3406076166024818,5648,0.9103803997421018,1815,0.3213526912181303
official_test,H0,12345,6204,10314,3366,0.3263525305410122,0.8312379110251451,0.2678916827852998,10314,0.16114019778941244,0.1029980657640232,0.9078014184397163,1.3375241779497098,1.0,4682,0.7546744036105738,1598,0.3413071337035455,5632,0.9078014184397163,1768,0.31392045454545453
official_test,O1,1,6204,7590,0,0.0,0.6117021276595744,0.14329464861379754,7590,0.11712779973649538,0.0,0.7005157962604771,1.7765957446808511,1.0,3244,0.5228884590586719,0,0.0,4346,0.7005157962604771,0,0.0
official_test,LR,1,6204,10320,3362,0.3257751937984496,0.8317214700193424,0.2775628626692456,10320,0.16686046511627908,0.10622179239200516,0.9197292069632496,1.3365570599613152,1.0,4614,0.7437137330754352,1572,0.34070221066319895,5706,0.9197292069632496,1790,0.3137048720644935
official_test,PLATT,1,6204,12408,5797,0.4671985815602837,1.0,0.4771115409413282,12408,0.2385557704706641,0.24532559638942616,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2837,0.4572856221792392
official_test,ISO,1,6204,11767,5527,0.4697034078354721,0.9483397807865893,0.4203739522888459,11767,0.22163678082773858,0.22888459058671826,0.9921018697614442,1.1033204384268214,1.0,5612,0.9045776918117344,2660,0.47398431931575197,6155,0.9921018697614442,2867,0.465800162469537
source_disjoint_test,B0,1,1140,2280,1202,0.5271929824561403,1.0,0.6912280701754386,2280,0.3456140350877193,0.21842105263157896,1.0,1.0,1.0,1140,1.0,612,0.5368421052631579,1140,1.0,590,0.5175438596491229
